ORGANIZATION_NAME,APPLICATION_STATUS,COMPANY NAME,DATE,COUNTRY,ARTICLES,HIGHLIGHT,PATICULAR,EXTRA NOUNS,EXTRA VERB,EXTRA ADJACTIVE
The French data protection authority ('CNIL'),announced,no company name, 15 February 2021, France,NO ARTICLES,"highlightedÂ that a 'sandbox' cannot lead to a temporary lifting of regulatory constraints under the GDPR. The call for projects is open until 2 April 2021.
You can read the announcement","In particular, CNIL noted that its aim isÂ to give enhanced support to the projects that stand out in terms of data protection in the realm of digital health, as well as highlightedÂ that a 'sandbox' cannot lead to a temporary lifting of regulatory constraints under the GDPR","['French', 'protection', 'authority', 'February', 'General', 'Protection', 'Regulation', 'Regulation', 'sandbox', 'projects', 'health', 'support', 'projects', 'protection', 'health', 'highlightedÂ', ""'sandbox"", 'lifting', 'constraints', 'projects', 'announcement', 'French']",['announced'],"['digital', 'particular', 'enhanced', 'digital', 'temporary', 'regulatory', 'available']"
 The Hong Kong Monetary Authority ('HKMA'),announced,JP Morgan Hong Kong, 28 Dec 2018, Hong Kong,NO ARTICLES,no highlight,"In particular, the HKMA noted that JPMorgan Hong Kong had failedÂ to establish and maintain effective procedures for identifying and handling wire transfers and for the purposes of carrying out its duties concerning customer due diligence and continuous monitoring of business relationships","['Monetary', 'Authority', 'JPMorgan', 'National', 'Association', 'BranchÂ', 'approx', 'Sections', 'Schedule', 'Anti-Money', 'Laundering', 'Counter-Terrorist', 'Financing', ""'AML/CTF"", 'Ordinance', 'JPMorgan', 'procedures', 'transfers', 'purposes', 'duties', 'customer', 'diligence', 'monitoring', 'business', 'relationships', 'JPMorgan', 'report', 'measures', 'violations', 'releaseÂ']","['announced', 'violating', 'failedÂ', 'establish', 'maintain', 'identifying', 'handling', 'carrying', 'concerning', 'ordered', 'submit', 'assessing', 'address', 'identified']","['particular', 'effective', 'continuous', 'independent', 'remedial', 'sufficient']"
The Italian data protection authority ('Garante'),published,Antonio Cardarelli , 25Â November 2021, Italy,"Articles 5(1)(a), 5(1)(c), 6, and 9 ",no highlight,"In particular, the GaranteÂ stated that the 'Transparent Administration' section ofÂ the hospital'sÂ institutional website had various downloadable documents containing personal data, including, among other things, contact details, tax codes, addresses, and sensitive personal data on health","['Italian', 'protection', 'authority', ""'Garante"", 'November', 'decision', 'â‚¬50,000Â', 'A.O.R.N', 'Antonio', 'Cardarelli', 'hospital', 'system', 'hospitals', 'violation', 'Articles', 'General', 'Protection', 'Regulation', 'Regulation', 'processing', 'absence', 'basis.Â', 'Background', 'GaranteÂ', 'Administration', 'section', 'website', 'documents', 'things', 'contact', 'details', 'addresses', 'health', 'regard', 'Garante', 'ranking', 'relation', 'competition', 'recruitment', 'Coronavirus', 'hospital', 'belief', 'transparency', 'actions', 'Guarante', 'hospital', 'account', 'framework', 'indications', 'Garante', 'entities', 'Findings', 'Garante', 'Notably', 'Garante', 'hospital', 'websiteÂ', 'documents', 'absence', 'principles', 'Articles', 'contravention', 'provisions', 'processing', 'Article', 'Outcomes', 'Garante', 'company', 'â‚¬50,000', 'quantity', 'factors', 'decision']","['published', 'imposed', 'following', 'stated', 'containing', 'including', 'specified', 'employed', 'disseminated', 'pursuing', 'provided', 'processed', 'processing', 'relating', 'assessing', 'imposed', 'consideredÂ']","['national', 'specialised', 'personal', 'suitable', 'particular', ""'Transparent"", ""hospital'sÂ"", 'institutional', 'various', 'downloadable', 'personal', 'sensitive', 'personal', 'aforementioned', 'personal', 'mistaken', 'current', 'regulatory', 'public', 'disseminatingÂ', 'personal', 'downloadable', 'personal', 'general', 'personal', 'sensitive', 'personal', 'following', 'available', 'Italian']"
The Italian data protection authority ('Garante'),issued,"T.S.M. â‚¬40,000 fo", 27 January 2022, Italy,"Articles 13, 15, and 21 ",highlighted that T.S.M. had repeatedly failed to respond to requests for information and comments sent by the Garante,"In particular, the Garante stated that, according to the complaint, in order to participate in a professional training course, the complainant had been requested by the organisers to fill some forms, which, however, were in the name of T","['Italian', 'protection', 'authority', ""'Garante"", 'January', 'decision', 'â‚¬40,000', 's.r.l.', 'violations', 'Articles', 'General', 'Protection', 'Regulation', 'Regulation', 'Articles', 'Personal', 'Protection', 'Provisions', 'National', 'Legislation', 'General', 'Protection', 'Regulation', 'complaint', 'individual', 'Background', 'decision', 'Garante', 'complaint', 'training', 'course', 'complainant', 'organisers', 'addition', 'Garante', 'complainant', 'organisers', 'explanations', 'complainant', 'request', 'exercise', 'access', 'Subsequently', 'Garante', 'complainant', 'deletion', 'archives', 'complainant', 'information', 'Article', 'complainant', 'objection', 'processing', 'Garante', 'requests', 'information', 'comments', 'Garante', 'Garante', 'procedure', 'adoption', 'enforcement', 'actions', 'Findings', 'Garante', 'Further', 'elements', 'course', 'investigation', 'Garante', 'questions', 'complainant', 'identity', 'document', 'health', 'information', 'processing', 'relationship', 'course', 'organisers', 'Garante', 'violation', 'Article', 'processing', 'addition', 'Garante', 'breach', 'Articles', 'information', 'complainant', 'response', 'request', 'exercise', 'rights', 'rights', 'control', 'Garante', 'breach', 'Articles', 'failure', 'requests', 'information', 'documents', 'Garante', 'investigation', 'Garante', 'Garante', 'things', 'nature', 'conduct', 'Garante', 'requests', 'duration', 'violation', 'complainant', 'rights', 'cooperation', 'investigation', 'addition', 'Garante', 'Outcomes', 'conclusion', 'Garante', 'warning', 'prohibition', 'orders', 'appeal', 'authority', 'decision']","['issued', 'imposed', 'Containing', 'following', 'submitted', 'stated', 'according', 'participate', 'requested', 'requested', 'provide', 'following', 'decided', 'submit', 'erasure', 'object', 'outlined', 'confirmed', 'providing', 'required', 'ensuring', 'highlighted', 'failed', 'respond', 'following', 'initiatedÂ', 'emerged', 'required', 'attach', 'contain', 'clarify', 'failed', 'clarify', 'deemed', 'having', 'provided', 'making', 'exercise', 'depriving', 'respond', 'submitted', 'hindering', 'imposed', 'quantifying', 'considered', 'imposed', 'highlighted']","['particular', 'professional', 'personal', 'future', 'personal', 'personal', 'incomplete', 'impossible', 'personal', 'repetitive', 'omissive', 'general', 'aforementioned', 'judicial', 'available', 'Italian']"
The Italian data protection authority ('Garante'),issued,"Villa Masi â‚¬1,000", 13 January 2022, Italy,Article 13 ,highlighted that Villa Masi has 30 days to settle the dispute by paying an amount equal to half of the sanction imposed. In addition,"In particular, the Garante stated that Labour Inspectorate Unit had reported the presence ofÂ two CCTV cameras, placed inside Villa Masi, and that the information signs prescribed by Article 13 of the GDPR were not displayed","['Italian', 'protection', 'authority', ""'Garante"", 'January', 'decision', 'â‚¬1,000', 'Background', 'decision', 'Garante', 'Labour', 'Inspectorate', 'presence', 'cameras', 'information', 'Article', 'addition', 'Garante', 'report', 'initiation', 'procedure', 'adoption', 'sanction', 'course', 'hearing', 'cameras', 'Findings', 'Garante', 'Further', 'examination', 'documentation', 'Garante', 'checks', 'Labour', 'Inspectorate', 'cameras', 'operation', 'information', 'breach', 'Article', 'violation', 'Garante', 'account', 'things', 'absence', 'violations', 'cooperation', 'course', 'investigation', 'proceeding.Â', 'Outcomes', 'conclusion', 'Garante', 'dispute', 'amount', 'sanction', 'addition', 'Garante', 'timeframe', 'appeal', 'authority.Â', 'Garante', 'publication', 'decision', 'website', 'sanction', 'decision']","['issued', 'imposed', 'stated', 'reported', 'placed', 'prescribed', 'displayed', 'notified', 'requested', 'declared', 'removed', 'produced', 'determined', 'carried', 'installed', 'affixed', 'resulting', 'occurred', 'imposed', 'quantifying', 'imposed', 'highlighted', 'settle', 'paying', 'imposed', 'ordered']","['particular', 'administrative', 'previous', 'aforementioned', 'judicial', 'ancillary', 'available', 'Italian']"
The National Supervisory Authority for Personal Data ProcessingÂ ('ANSPDCP'),announced,Banca Transilvania , 17 December 2020, Romania,Article 5(1)(f) ,highlighted that,"In particular, the ANSPDCP highlighted that, further to complaints regarding the breach of confidentiality and failure to secure data, it investigated the company, and found that a listed document containing a client's statement, as well as an email containing the internal conversation between the company's employees was posted on Facebook and a website","['National', 'Supervisory', 'Authority', 'Personal', 'ProcessingÂ', ""'ANSPDCP"", 'December', 'decision', 'Transilvania', 'approx', 'â‚¬100,000', 'result', 'violation', 'Article', 'General', 'Protection', 'Regulation', 'Regulation', 'controller', 'responsibility', 'integrity', 'confidentiality', 'Article', 'security', 'measures', 'ANSPDCP', 'complaints', 'breach', 'confidentiality', 'failure', 'company', 'document', 'client', 'statement', 'conversation', 'company', 'employees', 'Facebook', 'website', 'ANSPDCP', 'circulation', 'document', 'disclosure', 'individuals', 'company', 'security', 'measure', 'data.Â', 'announcement']","['announced', 'relating', 'ensure', 'highlighted', 'regarding', 'secure', 'investigated', 'containing', 'containing', 'posted', 'listed', 'failed', 'safeguard']","['inadequate', 'particular', 'listed', 'internal', 'unauthorised', 'personal', 'adequate', 'technical', 'organisational', 'available', 'Romanian']"
The National Supervisory Authority for Personal Data ProcessingÂ ('ANSPDCP'),announced,"Viva CreditÂ RON 9,", 30 July 2020, Romania,Article 17 ,highlighted that the operator had not provided the applicant with information on the actions taken following the request within one month (or up to threeÂ months ifÂ a reason for the delay is provided). In addition,"In particular, the ANSPDCP highlighted that the operator had not provided the applicant with information on the actions taken following the request within one month (or up to threeÂ months ifÂ a reason for the delay is provided)","['National', 'Supervisory', 'Authority', 'Personal', 'ProcessingÂ', ""'ANSPDCP"", 'approx', 'â‚¬2,000', 'Credit', 'failure', 'subject', 'request', 'erasure', 'Article', 'General', 'Protection', 'Regulation', 'Regulation', 'ANSPDCP', 'operator', 'information', 'actions', 'request', 'months', 'reason', 'addition', 'ANSPDCP', 'obligation', 'Article', 'requests', 'receipt', 'request', 'ANSPDCPÂ', 'company', 'respond', 'request', 'announcement']","['announced', 'imposed', 'respond', 'highlighted', 'provided', 'following', 'threeÂ', 'provided', 'respond', 'requested']","['particular', 'applicant', 'subject', 'latest', 'subject', 'available', 'Romanian']"
The National Supervisory Authority for Personal Data ProcessingÂ ('ANSPDCP'),announced,no company name, 1 September 2020, Romania,Article 32 ,no highlight,"In particular, the ANSPDCP issued a RON 2417","['National', 'Supervisory', 'Authority', 'Personal', 'ProcessingÂ', ""'ANSPDCP"", 'September', 'investigation', 'Owners', 'Association', 'NÄƒvodari', 'ConstanÈ›a', 'sanctions', 'implementation', 'measures', 'breaches', 'General', 'Protection', 'Regulation', 'Regulation', 'ANSPDCP', 'approx', 'â‚¬500', 'processing', 'images', 'warnings', 'Owners', 'Association', 'failures', 'measures', 'Article', 'subjects', 'processing', 'addition', 'ANSPDCPÂ', 'Owners', 'Association', 'measures', 'information', 'subjects', 'access', 'images', 'release']","['announced', 'completed', 'decided', 'issued', 'collected', 'issuing', 'implement', 'protect', 'inform', 'requested', 'provide', 'ensure', 'collected']","['corrective', 'several', 'particular', 'illegal', 'technical', 'organisational', 'personal', 'personal', 'corrective', 'complete', 'limited', 'available', 'Romanian']"
"The Spanish data protection authority ('AEPD'),",issued,Comercial Vigobrand, 20 July 2020, Spain,Article 12 ,highlighted that it is sufficientÂ to placeÂ an informative sign in a visible place,"In particular, following a complaint that Comercial Vigobrandy had unlawfully installed CCTV surveillance, the AEPD found that the company had not used an appropriate sign and had failed to inform customers that the company acts a data controllerÂ and the purposes of the processing of data","['Spanish', 'protection', 'authority', 'resolutionÂ', 'PS/00459/2019', 'Resolution', 'Comercial', 'Vigobrandy', 'â‚¬1,500Â', 'surveillance', 'information', 'complaint', 'Comercial', 'Vigobrandy', 'surveillance', 'company', 'customers', 'company', 'controllerÂ', 'purposes', 'processing', 'addition', 'entrance', 'building', 'surveillance', 'Comercial', 'Vigobrandy', 'Article', 'General', 'Protection', 'Regulation', 'Regulation', 'information', 'rights', 'status', 'controller', 'purposes', 'surveillance', 'system', 'â‚¬1,500', 'Comercial', 'Vigobrandy', 'Resolution']","['issued', 'fining', 'installing', 'providing', 'following', 'installed', 'failed', 'inform', 'highlighted', 'placeÂ', 'subjected', 'breached', 'failing', 'provide', 'processing', 'installing', 'imposed', 'ordered', 'placed']","['adequate', 'particular', 'appropriate', 'sufficientÂ', 'informative', 'visible', 'subject', 'informative', 'available', 'Spanish']"
The Personal Data Protection Authority ('KVKK'),published,electronic sales se, 2 August 2021, Turkey,Article 12 ,highlighted that,"In particular, the KVKK confirmed that the violation occurred as a result of a data breach notification when the company was informed that its website was hacked and that there is a possibility that approximately 257,000 people will be affected by the breach","['Personal', 'Protection', 'Authority', 'August', 'summary', 'decision', 'February', 'service', 'provider', 'approx', 'â‚¬20,200', 'measures', 'security', 'pursuant', 'Article', 'Protection', 'Personal', 'violation', 'result', 'breach', 'notification', 'company', 'website', 'possibility', 'people', 'breach', 'records', 'controller', 'anyone', 'individuals', 'breach', 'controller', 'employees', 'places', 'connections', 'network', 'eavesdropping', 'categories', 'breach', 'breach', 'things', 'surnames', 'addresses', 'account', 'passwords', 'decision', 'Turkish']","['published', 'failing', 'ensure', 'paragraph', 'confirmed', 'occurred', 'informed', 'hacked', 'affected', 'detected', 'affected', 'worked', 'shared', 'highlighted', 'affected', 'stated', 'affected', 'include', 'amongÂ', 'encrypted']","['electronic', 'necessary', 'technical', 'administrative', 'particular', 'public', 'special', 'personal', 'personal', 'available']"
The Financial Conduct Authority ('FCA'),announced,IBUK over Â£1M for , 25 January 2018, UK,NO ARTICLES,highlighted that IBUK hadÂ failed to adequately reviewÂ the reports produced by its US team,no particular,"['Financial', 'Conduct', 'Authority', 'January', 'Interactive', 'Brokers', 'Â£1,049,412', 'implementÂ', 'systems', 'controls', 'transactions', 'February', 'February', 'reports', 'reviews', 'Director', 'Enforcement', 'Market', 'Oversight', 'Steward', 'responsibility', 'conduct', 'capital', 'markets', 'obligation', 'trading', 'systems', 'purpose', 'systems', 'transactions', 'standards', 'counterparties', 'market', 'standards', 'market', 'conduct', 'markets', 'release']","['announced', 'failing', 'identifying', 'reporting', 'highlighted', 'failed', 'reviewÂ', 'produced', 'ensured', 'conducting', 'trained', 'report', 'ensure', 'bargain', 'continue', 'enforce', 'ensure', 'function']","['finedÂ', 'post-trade', 'suspicious', 'suspicious', 'financial', 'inadequate', 'ineffective', 'suspicious', 'appropriate', 'exposed', 'appropriate']"
"The Taskforce on Innovation, Growth and Regulatory R",published,no company name, 16 June 2021, UK,Article 22 ,no highlight,"In particular, the Taskforce was formed upon request by Johnson, in order to identify and develop proposals across a range of areas driving innovation, growth, and competitiveness through regulatory reform","['Taskforce', 'Innovation', 'Growth', 'Regulatory', 'Reform', 'report', 'recommendations', 'Minister', 'Johnson', 'approach', 'regulation', 'opportunities', 'Brexit', 'Taskforce', 'request', 'Johnson', 'proposals', 'innovation', 'growth', 'competitiveness', 'reform', 'report', 'protection', 'framework', 'Framework', 'Citizen', 'Rights', 'General', 'Protection', 'Regulation', 'Regulation', 'purposes', 'report', 'reform', 'rights', 'powers', 'consumers', 'citizens', 'responsibility', 'companies', 'innovation', 'interest', 'report', 'concerns', 'intelligence', 'growth', 'sectors', 'innovation', 'report', 'Article', 'legitimacy', 'decision-making', 'release']","['published', 'containing', 'reshape', 'formed', 'identify', 'develop', 'driving', 'replace', 'describing', 'restricting', 'proposes', 'placing', 'freeing', 'indicates', 'revised', 'enable', 'suggests', 'should', 'removed']","['particular', 'regulatory', 'worthwhile', 'stronger', 'public', 'artificial', 'automated']"
The Abu Dhabi Global Market ('ADGM'),announced,for failure to pay, 25 July 2021,ADGM,NO ARTICLES,no highlight,no particular,"['Global', 'Market', 'Protection', 'Regulations', 'Protection', 'Regulations', ""'Fines"", 'Furthermore', 'entities', 'February', 'August', 'whileÂ', 'entities', 'existence', 'February', 'February', 'commencement', 'Regulations', 'addition', 'Office', 'Protection', 'guidance', 'documents', 'entities', 'understanding', 'Regulations', 'website', 'release']","['announced', 'issued', 'stated', 'registered', 'clarified', 'publishing', 'assist', 'interpreting']",['respective']
The Financial Services Regulatory Authority ('FSRA'),announced,AT Capital Markets , 17 December 2019,ADGM,NO ARTICLES,highlighted thatÂ AT Capital Markets agreed to settle this matter at an early stage following the conclusion of theÂ investigation,no particular,"['Financial', 'Services', 'Regulatory', 'Authority', 'Global', 'Market', 'December', 'Capital', 'Markets', 'LimitedÂ', 'licence', 'things', 'failures', 'governance', 'systems', 'controls', 'client', 'classification', 'laundering', 'processes.Â', 'Furthermore', 'Capital', 'Markets', 'Senior', 'Executive', 'Officer', 'involvementÂ', 'activities', 'failure', 'Capital', 'Markets', 'requirements', 'addition', 'Capital', 'Markets', 'breach', 'requirements', 'activities', 'Financial', 'Services', 'Permission', 'clients', 'investigation', 'Capital', 'Markets', 'information', 'nature', 'activities', 'failingÂ', 'misconduct', 'employees', 'addition', 'Capital', 'Markets', 'matter', 'conclusion', 'investigation', 'discretion', 'discount', 'policies', 'settlement.Â', 'release']","['announced', 'suspended', 'ensure', 'complied', 'operated', 'conducting', 'dealing', 'prohibited', 'provided', 'concerning', 'notify', 'alleged', 'highlighted', 'agreed', 'settle', 'following', 'exercised']","['internal', 'anti-money', 'active', 'unauthorised', 'reasonable', 'regulatory', 'regulated', 'retail', 'misleading', 'certain']"
The Office of the Information and Privacy Commissioner ('OIPC'),published,"AHS employee CAD 5,", 10Â February 2022,Alberta,NO ARTICLES,"highlighted that none of the individuals were patients at the AHS unitÂ where Mushinksi was employed as a clerk.
Outcomes
Finally","In particular, the OIPC outlined that itÂ had initiated an offence investigation into Marie Mushinski, a former AHS employee, after AHS notified the OIPC of a data breach in June 2020, following whichÂ charges were laid in April 2021","['Office', 'Information', 'Privacy', 'Commissioner', 'February', 'conclusion', 'investigation', 'February', 'approx', 'â‚¬3,620', 'Alberta', 'Health', 'Services', 'employee', 'violations', 'Section', 'Health', 'Information', 'access', 'health', 'information', 'Background', 'investigation', 'offence', 'investigation', 'Mushinski', 'employee', 'breach', 'whichÂ', 'charges', 'Findings', 'Furthermore', 'Mushinksi', 'health', 'information', 'individuals', 'period', 'individuals', 'patients', 'Mushinksi', 'Outcomes', 'Mushkisnki', 'February', 'health', 'information', 'violation', 'Section', 'approx', 'â‚¬3,620', 'approx', 'â‚¬725', 'victim', 'surcharge', 'months', 'probation', 'period', 'employment', 'capacity', 'access', 'health', 'information', 'release']","['published', 'issued', 'imposed', 'following', 'outlined', 'initiated', 'notified', 'following', 'detailed', 'accessed', 'highlighted', 'employed', 'accessed', 'includes', 'allows']","['unnamed', 'regional', 'formerÂ', 'unauthorisedÂ', 'particular', 'former', 'two-year', 'guilty']"
TheÂ National Data Protection AgencyÂ ('APD'),announced,"BPC $525,000 for pu", 29 April 2022,Angola,"Articles 30, 31, 32, and 35(1) ",no highlight,"In particular, the APD outlined that the decision follows an investigation into the public disclosure, through online social networks, of a map of employees who had been laid off by BPC","['National', 'Protection', 'AgencyÂ', 'decision', 'PoupanÃ§a', 'CrÃ©dito', 'Angola', 'equivalent', 'violations', 'Articles', 'Protection', 'Personal', 'Background', 'decision', 'investigation', 'disclosure', 'networks', 'employees', 'Findings', 'violations', 'relation', 'disclosure', 'employee', 'Outcome', 'findings', 'amount', 'release', 'Portuguese']","['announced', 'issued', 'finedÂ', 'outlined', 'follows', 'identified', 'decided']","['government-owned', 'particular', 'public', 'online', 'social', 'following', 'public', 'available']"
