ORGANIZATION_NAME,APPLICATION_STATUS,COMPANY NAME,DATE,COUNTRY,ARTICLES,HIGHLIGHT,PATICULAR,EXTRA NOUNS,EXTRA VERB,EXTRA ADJACTIVE
The Argentinian data protection authority ('AAIP'),issued,Google for right to, 6 June 2019,Argentina,NO ARTICLES,no highlight,"In particular, the AAIP found that Google did not allow a user to access their personal data in their Gmail account and related applications after changes to their passwords were made by an unauthorised third party","['Argentinian', 'protection', 'authority', 'decision', 'Decision', 'approx', 'â‚¬3,770', 'Google', 'Argentina', 'Google', 'violations', 'Personal', 'Protection', 'Google', 'access', 'account', 'applications', 'changes', 'passwords', 'release']","['issued', 'imposing']","['particular', 'personal', 'related', 'unauthorised']"
The Argentinian data protection authority ('AAIP'),issued,Rappi for right to , 13 April 2021,Argentina,NO ARTICLES,highlighted that on repeated occasions,"In particular, the AAIP noted that anÂ investigation was carried out based on theÂ complaint from a person who had made deliveries for Rappi and decided to unsubscribeÂ from the application but continued toÂ receiveÂ emails and messages on his phone","['Argentinian', 'protection', 'authority', 'decision', 'approx', 'â‚¬722', 'violations', 'Personal', 'Protection', 'investigation', 'complaint', 'person', 'deliveries', 'application', 'receiveÂ', 'emails', 'messages', 'occasions', 'complainant', 'company', 'databases', 'responses', 'release']","['issued', 'imposing', 'carried', 'decided', 'unsubscribeÂ', 'continued', 'highlighted', 'delete', 'obtaining']","['particular', 'repeated', 'personal', 'unsatisfactory']"
The Argentinian data protection authority ('AAIP')Â,announced,TelefÃ³nica ARS 3M , 28 January 2020,Argentina,Article 7Â ,no highlight,"In particular, the AAIP issued aÂ fine of ARS 3,000,000 (approx","['Argentinian', 'protection', 'authority', 'January', 'resolution', 'Resolution', 'againstÂ', 'TelefÃ³nica', 'MÃ³viles', 'Argentina', 'violations', 'approx', 'â‚¬45,000', 'againstÂ', 'TelefÃ³nicaÂ', 'charges', 'violationsÂ', 'Article', 'services', 'telephone', 'communications', 'registry', 'Resolution']","['announced', 'issued', 'issued', 'relating', 'provides', 'advertise', 'address', 'registered']","['particular', 'individual', 'avalaible', 'Spanish']"
The Argentinian data protection authority ('AAIP'),issued,"Yahoo! ARS 105,000 ", 6 June 2019,Argentina,Article 9 ,no highlight,"In particular, the AAIP issued a ARS 80,000 (approx","['Argentinian', 'protection', 'authority', 'approx', 'â‚¬2,190', 'Argentina', 'S.R.LÂ', 'violations', 'Personal', 'Protection', 'approx', 'â‚¬1,670', 'failureÂ', 'measures', 'security', 'confidentiality', 'violation', 'Article', 'relation', 'breachÂ', 'accounts', 'addresses', 'addition', 'approx', 'â‚¬520', 'failingÂ', 'manner', 'cancellation', 'registration', 'National', 'Registry', 'Personal', 'Databases', 'business', 'operations', 'Argentina', 'Decision']","['issued', 'issued', 'guarantee', 'approximatelyÂ', 'associated', 'disclosed', 'inform', 'ceasing']","['particular', 'necessary', 'technical', 'organisational', 'personal', 'Argentinian', 'timely', 'available', 'Spanish']"
The Argentinian data protection authority's ('PDP'),was,for data protection, 29 December 2016,Argentina,NO ARTICLES,no highlight,no particular,"['Argentinian', 'protection', 'authority', 'Regulation', 'E/2016', 'protection', 'sanctions', 'Regulation', 'December', 'Official', 'Gazette', 'series', 'accumulation', 'sanctions', 'result', 'infractions', 'infractions', 'infractions']","['published', 'creating', 'result']","['maximum', 'maximum', 'serious', 'serious']"
The Australian Communications and Media Authority ('ACMA'),announced,Allied Construction, 22 March 2018,Australia,NO ARTICLES,no highlight,no particular,"['Communications', 'Authority', 'Allied', 'Construction', 'Roofing', 'approx', 'â‚¬13,000', 'numbers', 'Register', 'consent', 'addition', 'notedÂ', 'undertaking', 'Allied', 'Construction', 'commitment', 'Australia', 'telemarketing', 'addition', 'payment', 'release']","['announced', 'calling', 'obtaining', 'accepted', 'detailing', 'comply']","['Australian', 'enforceable']"
The Australian Communications and Media Authority ('ACMA'),announced,Brand Link Media AU, 1 May 2019,Australia,NO ARTICLES,highlighted that Brand Link Media has undertaken to have an independent review of its policies and procedures for compliance with the Act,no particular,"['Communications', 'Authority', 'approx', 'â‚¬7,900', 'marketing', 'emails', 'consent', 'consumers', 'addition', 'undertaking', 'commitment', 'compliance', 'review', 'policies', 'procedures', 'compliance', 'records', 'consent', 'Nerida', ""O'Loughlin"", 'Consumers', 'marketing', 'messages', 'e-marketing', 'services', 'businesses', 'release']","['announced', 'sending', 'outlined', 'accepted', 'detailing', 'improve', 'highlighted', 'undertaken', 'includingÂ', 'obtains', 'frustrated', 'consented', 'receive', 'concerned', 'involves', 'looking']","['Australian', 'enforceable', 'independent', 'financial']"
The Australian Communications and Media Authority ('ACMA'),announced,Ecostar Double Glaz, 14 May 2018,Australia,NO ARTICLES,no highlight,"In particular, the ACMA outlinedÂ that Ecostar Double Glazing had initially obtained express consent for its telemarketing activities, however, consideringÂ thatÂ the initial consent had lapsed after three months, Ecostar Double Glazing was found inÂ breachÂ of the telemarketing rules","['Communications', 'Authority', 'Ecostar', 'Double', 'Glazing', 'approx', 'â‚¬15,880', 'numbers', 'Register', 'consent', 'outlinedÂ', 'Ecostar', 'Double', 'Glazing', 'consent', 'telemarketing', 'activities', 'consent', 'months', 'Ecostar', 'Double', 'Glazing', 'breachÂ', 'telemarketing', 'release']","['announced', 'calling', 'obtaining', 'obtained', 'consideringÂ', 'lapsed']","['Australian', 'particular', 'express', 'initial']"
The Australian Communications and Media Authority ('ACMA'),announced,Foxtel Management A, 13 December 2018,Australia,NO ARTICLES,no highlight,"In particular, the ACMA found that Foxtel Management had continued to sell its products and services to consumers after they had indicated that they wanted to end the call, in violation of the Telemarketing Industry Standards, whichÂ require telemarketers to end a call immediately when asked","['Communications', 'Authority', 'December', 'Foxtel', 'Management', 'approx.â‚¬15,900', 'violations', 'Foxtel', 'Management', 'products', 'services', 'consumers', 'violation', 'Telemarketing', 'Industry', 'Standards', 'require', 'telemarketers', 'release']","['announced', 'telemarketing', 'continued', 'indicated', 'wanted']","['Australian', 'particular', 'whichÂ']"
The Australian Communications and Media Authority ('ACMA'),announced,Instyle Solar AUD 1, 22 JanuaryÂ 2018,Australia,NO ARTICLES,no highlight,no particular,"['Communications', 'Authority', 'JanuaryÂ', 'Instyle', 'approx', 'â‚¬7,000', 'consent', 'numbers', 'Register', 'addition', 'Instyle', 'records', 'consent', 'numbers', 'numbers', 'Nerida', 'Oâ€™Loughlin', 'Telemarketers', 'number', 'Register', 'consent', 'consent', 'action', 'release']","['announced', 'failing', 'obtain', 'maintained', 'gathered', 'including', 'purchasing', 'stated', 'demonstrate', 'demonstrate']","['Australian', 'adequate', 'several']"
The Australian Communications and Media Authority ('ACMA'),announced,"Kalkine AUD 251,400", 16 June 2021,Australia,NO ARTICLES,no highlight,"In particular, the ACMA found that Kalkine had made over 7,200 calls to more than 5,400 phone numbers on the Do Not Call Register from January to September 2020","['Communications', 'Authority', 'Kalkine', 'Limited', 'approx', 'â‚¬159,190', 'breach', 'Australia', 'telemarketing', 'Kalkine', 'numbers', 'Register', 'January', 'September', 'addition', 'penalties', 'Kalkine', 'reviews', 'systems', 'processes', 'procedures', 'undertakings', 'regard', 'Nerida', 'Oâ€™Loughlin', 'services', 'sector', 'potential', 'impacts', 'impacts', 'people', 'circumstances', 'products', 'services', 'release']","['announced', 'paying', 'conduct', 'accepted', 'focusing', 'involved', 'stated', 'Unwanted']","['Australian', 'particular', 'financial', 'independent', 'two-year', 'court-enforceable', 'financial', 'broader', 'financial', 'significant', 'social', 'economic', 'serious', 'vulnerable']"
The Australian Communications and Media Authority ('ACMA'),announced,Kalkine Media AUD 1, 16 June 2021,Australia,NO ARTICLES,no highlight,"In particular, ACMA found that Kalkine Media had sent over 2,774 spam emails to more than 2,700 recipients without their consent from January to September 2020","['Communications', 'Authority', 'Kalkine', 'approx', 'â‚¬68,900', 'breach', 'Australia', 'telemarketing', 'Kalkine', 'recipients', 'consent', 'January', 'September', 'addition', 'penalties', 'Kalkine', 'reviews', 'systems', 'processes', 'procedures', 'undertakings', 'Nerida', ""O'Loughlin"", 'services', 'sector', 'potential', 'impacts', ""O'Loughlin"", 'Unwanted', 'impacts', 'people', 'circumstances', 'products', 'services', 'release']","['announced', 'emails', 'paying', 'conduct', 'accepted', 'focussing', 'involved', 'stated', 'donâ€™t']","['Australian', 'particular', 'financial', 'independent', 'two-year', 'court-enforceable', 'financial', 'broader', 'financial', 'significant', 'social', 'economic', 'serious', 'vulnerable']"
The Australian Communications and Media Authority ('ACMA'),announced,Kogan Australia AUD, 20 January 2021,Australia,NO ARTICLES,highlighted that Kogan Australia had sent more than 42 million marketing emails to consumers,"In particular, the ACMA highlighted that Kogan Australia had sent more than 42 million marketing emails to consumers, from which they could only unsubscribe by taking additional steps to set a password and log into a Kogan Australia account","['Communications', 'Authority', 'January', 'Australia', 'approx', 'â‚¬198,240', 'breaches', 'Australia', 'marketing', 'emails', 'consumers', 'password', 'Australia', 'account', 'undertaking', 'Australia', 'consultant', 'systems', 'training', 'employees', 'marketing', 'messages', 'Nerida', ""O'Loughlin"", 'investigation', 'businesses', 'customers', 'password', 'messages', 'infringement', 'notice', 'undertaking', 'message', 'Australia', 'businesses', 'action', 'breaches', 'release']","['announced', 'finedÂ', 'highlighted', 'unsubscribe', 'taking', 'outlined', 'accepted', 'requiring', 'appoint', 'review', 'provide', 'sending', 'stated', 'unsubscribe', 'receiving']","['Australian', 'particular', 'additional', 'three-year', 'court-enforceable', 'independent', 'commercial', 'substantial', 'comprehensive', 'three-year', 'court-enforceable', 'strong']"
The Australian Communications and Media Authority ('ACMA'),announced,Lead My Way AUD 285, 27 September 2018,Australia,NO ARTICLES,highlighted that civil penalties,"In particular, the ACMA highlighted that civil penalties, injunctions, and formal warnings may be issued for violations of telemarking laws","['Communications', 'Authority', 'September', 'approx', 'â‚¬177,660', 'numbers', 'Register', 'recipients', 'consent', 'penalties', 'injunctions', 'warnings', 'violations', 'releaseÂ']","['announced', 'calling', 'obtaining', 'highlighted', 'issued', 'telemarking']","['Australian', 'particular', 'formal']"
The Australian Communications and Media Authority ('ACMA'),announced,"Oneflare AUD 75,600", 29 November 2019,Australia,NO ARTICLES,highlighted that Oneflare had sent commercial SMS messages to phone numbers found on public directories and commercial SMS messages without an unsubscribe option. In addition,"In particular, the ACMA highlighted that Oneflare had sent commercial SMS messages to phone numbers found on public directories and commercial SMS messages without an unsubscribe option","['Communications', 'Authority', 'November', 'Oneflare', 'approx', 'â‚¬39,340', 'violations', 'Oneflare', 'messages', 'numbers', 'directories', 'messages', 'option', 'addition', 'undertaking', 'Oneflare', 'processes', 'consultant', 'policies', 'procedures', 'Oneflare', 'undertaking', 'action', 'Federal', 'release']","['announced', 'highlighted', 'outlined', 'accepted', 'ensure', 'comply', 'including', 'review', 'breaches']","['Australian', 'particular', 'commercial', 'public', 'commercial', 'unsubscribe', 'enforceable', 'independent', 'further']"
The Australian Communications and Media Authority ('ACMA'),announced,Service Seeking AUD, 16 July 2018,Australia,NO ARTICLES,no highlight,no particular,"['Communications', 'Authority', 'Service', 'Seeking', 'approx', 'â‚¬32,000', 'violationsÂ', 'investigation', 'Service', 'Seeking', 'messages', 'consent', 'messages', 'facility', 'Nerida', ""O'Loughlin"", 'marketing', 'recipient', 'permission', 'business', 'messages', 'numbers', 'directory', 'consent', 'account', 'holder', ""O'Loughlin"", 'reminder', 'marketing', 'message', 'recipient', 'messages', 'release']","['announced', 'revealed', 'failed', 'identify', 'authorised', 'failed', 'provide', 'Businesses', 'contacted', 'obtained', 'identify', 'enable']","['Australian', 'unsubscribeÂ', 'commercial', 'online', 'timely', 'future']"
The Australian Communications and Media Authority ('ACMA'),published,Sportsbet AUD 2.5M , 18 March 2022,Australia,NO ARTICLES,no highlight,"In particular, the ACMA outlined that, it had reason to believe that Sportsbet had committed one or more contraventions of the Spam Act 2003 ('the Spam Act'), in sending CEMs to electronic account-holders without consent","['Communications', 'Authority', 'notice', 'December', 'approx', 'Sportsbet', 'Background', 'reason', 'Sportsbet', 'contraventions', 'account-holders', 'consent', 'Findings', 'Furthermore', 'Sportsbet', 'January', 'consent', 'account-holders', 'addition', 'Sportsbet', 'period', 'facility', 'Sections', 'Outcomes', 'approx', 'Sportsbet', 'January', 'access', 'infringement', 'notice', 'UPDATE', 'Sportsbet', 'sending', 'consent', 'Communications', 'Authority', 'decision', 'undertaking', 'January', 'addition', 'December', 'Sportsbet', 'actionsÂ', 'relation', 'messages', 'Sportsbet', 'Background', 'Sportsbet', 'December', 'contraventions', 'regards', 'account-holders', 'consent', 'facility', 'Findings', 'Sportsbet', 'January', 'consent', 'account-holders', 'Sportsbet', 'December', 'facility', 'Sections', 'acknowledgment', 'Sportsbet', 'finding', 'concerns', 'Outcomes', 'undertaking', 'Sportsbet', 'Sportsbet', 'compliance', 'compensate', 'customers', 'contravention', 'window', 'addition', 'undertaking', 'Sportsbet', 'approval', 'arbiter', 'business', 'commencement', 'undertaking', 'Further', 'undertaking', 'Sportsbet', 'arbiter', 'appointment', 'business', 'approval', 'undertaking', 'Sportsbet', 'compensation', 'report', 'arbiter', 'business', 'appointment', 'arbiter', 'regard', 'undertaking', 'compensation', 'report', 'things', 'undertaking', 'compensation', 'payments', 'months', 'commencement', 'Sportsbet', 'payment', 'report', 'business', 'arbiter', 'regard', 'payment', 'report', 'information', 'compensation', 'report', 'compensation', 'payments', 'compensation', 'payments', 'reasons', 'details', 'complaints', 'compensation', 'payments', 'action', 'Sportsbet', 'response', 'Further', 'undertaking', 'consultant', 'Sportsbet', 'procedures', 'policies', 'training', 'systems', 'compliance', 'deficiencies', 'improvements', 'undertaking', 'consultant', 'report', 'recommendations', 'review', 'undertaking', 'number', 'Sportsbet', 'regards', 'consultant', 'development', 'implementation', 'reporting', 'addition', 'training', 'requirements', 'others', 'undertaking', 'Sportsbet', 'accurate', 'records', 'consent', 'account-holders', 'company', 'conditions', 'consent', 'accurate', 'records', 'complaints', 'copies', 'consent', 'complaints', 'request', 'access', 'undertaking']","['published', 'issued', 'issued', 'outlined', 'believe', 'committed', 'sending', 'caused', 'caused', 'containing', 'confirmed', 'contravened', 'issued', 'accepts', 'undertaking', 'following', 'published', 'accept', 'issued', 'issued', 'agreed', 'outlined', 'notified', 'caused', 'containing', 'confirmed', 'contravened', 'regarding', 'accepted', 'signed', 'address', 'affected', 'suffered', 'confirmed', 'written', 'stated', 'appoint', 'inform', 'written', 'prepare', 'provided', 'outlined', 'stated', 'making', 'prepare', 'provide', 'Sportsbet', 'stated', 'appointed', 'review', 'relating', 'identify', 'and/or', 'produce', 'making', 'Sportsbet', 'outlined', 'undertaken', 'included', 'stated', 'sending', 'including', 'provide']","['Australian', 'infringement', 'particular', 'electronic', 'relevant', 'electronic', 'functional', 'unsubscribe', 'enforceable', 'Australian', 'court-enforceable', 'remedial', 'commercial', 'electronic', 'particular', 'electronic', 'functional', 'unsubscribe', 'relevant', 'electronic', 'functional', 'unsubscribe', 'three-year', 'court-enforceable', 'future', 'independent', 'approved', 'independent', 'independent', 'independent', 'independent', 'following', 'cross-referenced', 'appropriate', 'de-identified', 'independent', 'current', 'independent', 'independent', 'electronic']"
The Australian Communications and Media Authority ('ACMA'),announced,"Sumo Power AUD 46,2", 25 June 2019,Australia,NO ARTICLES,highlighted that Sumo Power had contacted numbers on the Do Not Call ('DNC') Register without receiving prior consent from consumers. In addition,"In particular, the ACMA highlighted that Sumo Power had contacted numbers on the Do Not Call ('DNC') Register without receiving prior consent from consumers","['Communications', 'Authority', 'approx', 'â‚¬28,440', 'telemarketing', 'numbers', 'Register', 'consent', 'consumers', 'addition', 'action', 'theirÂ', 'campaign', 'companies', 'legislation', 'Nerida', ""O'Loughlin"", 'Consumers', 'Register', 'privacy', 'Businesses', 'people', 'Register', 'permission', 'release']","['announced', 'highlighted', 'contacted', 'receiving', 'ongoing', 'targeting', 'breached', 'telemarketing', 'intruded', 'ensure', 'called']","['Australian', 'unlawful', 'particular', 'enforcement', 'unwanted']"
The Australian Communications and Media Authority ('ACMA'),announced,"Telco First AUD 79,", 10 March 2021,Australia,NO ARTICLES,highlighted that Telco First sent messages through another business that used artificial intelligence so text messages could be sent out to more than 40,"In particular, the ACMA highlighted that Telco First sent messages through another business that used artificial intelligence so text messages could be sent out to more than 40,000 phone numbers between March and August 2019","['Communications', 'Authority', 'trading', 'Compare', 'approx', 'â‚¬51,850', 'messages', 'breach', 'messages', 'business', 'intelligence', 'messages', 'numbers', 'August', 'messages', 'consent', 'recipients', 'sender', 'function', 'penalties', 'communications', 'Authority', 'Member', 'Cameron', 'Businesses', 'compliance', 'obligations', 'Businesses', 'consent', 'record', 'marketing', 'arrangements', 'businesses', 'behalf', 'release']","['announced', 'sending', 'highlighted', 'identify', 'breaching', 'outsource', 'obtained', 'conduct', 'should', 'confirm', 'operating']","['Australian', 'illegal', 'particular', 'artificial', 'unsubscribe', 'second', 'unsolicited', 'robust']"
The Australian Communications and Media Authority ('ACMA'),announced,"TPG AUD 360,000 for", 3 November 2017,Australia,NO ARTICLES,no highlight,no particular,"['Communications', 'Authority', 'November', 'Internet', 'Limited', 'approx', 'â‚¬240,000', 'breaches', 'investigation', 'systems', 'Internet', 'requests', 'breach', 'Section', 'messages', 'consumers', 'consent', 'release', 'marketing', 'practices', 'priority', 'compliance', 'communications', 'Nerida', ""O'Loughlin"", 'reminder', 'anyone', 'marketing', 'systems', 'marketing', 'release']","['announced', 'revealed', 'operated', 'processing', 'resulting', 'sending', 'withdrawn', 'receive', 'communications.Â', 'stated', 'conducts', 'maintaining', 'working', 'comply']","['Australian', 'properly', 'unsubscribe', 'commercial', 'electronic', 'consent-based', 'current', 'unsolicited', 'timely']"
The Australian Communications and Media Authority ('ACMA'),announced,Upside.Digital AUD , 12 July 2017,Australia,NO ARTICLES,no highlight,"In particular, Upside","['Communications', 'Authority', 'Upside.Digital', 'company', 'approx', 'â‚¬25,000', 'violations', 'Upside.Digital', 'consent', 'addresses', 'marketing', 'purposes', 'Further', 'messages', 'information', 'organisation', 'sending', 'message']","['announced', 'demonstrate', 'obtained', 'forwarded', 'contain', 'authorised']","['Australian', 'e-marketing', 'particular', 'unable', 'accurate']"
The Australian Communications and Media Authority ('ACMA'),announced,Wyndham Destination, 23 January 2020,Australia,NO ARTICLES,"highlightedÂ that Wyndham Destinations had been unable to demonstrate that it had consent for calls made to numbers on the DNC register and had failed to terminate calls after recipients indicated they did not wish to continue.
ACMA Chair","In particular, the ACMA highlightedÂ that Wyndham Destinations had been unable to demonstrate that it had consent for calls made to numbers on the DNC register and had failed to terminate calls after recipients indicated they did not wish to continue","['Communications', 'Authority', 'January', 'Wyndham', 'Destinations', 'Pacific', 'approx', 'â‚¬98,500', 'Telecommunications', 'Telemarketing', 'Research', 'Industry', 'Standard', 'Register', 'highlightedÂ', 'Wyndham', 'Destinations', 'consent', 'numbers', 'register', 'recipients', 'Nerida', ""O'Loughlin"", 'register', 'reason', 'numbers', 'register', 'belong', 'people', 'Businesses', 'consent', 'numbers', 'register', 'trouble', 'release']","['announced', 'breaching', 'demonstrate', 'failed', 'terminate', 'indicated', 'continue', 'exists', 'receive', 'telemarketing', 'demonstrate', 'listed']","['Australian', 'particular', 'unable']"
The Australian Communications and Media Authority ('ACMA'),announced,and warning to comp, 19 December 2018,Australia,NO ARTICLES,no highlight,"In particular the ACMA found that Primus Telecommunications, iSeclect and Dodo Services had called consumers on several occasions after they had withdrawn their consent","['Communications', 'Authority', 'December', 'Primus', 'Telecommunications', 'approx.â‚¬5,200', 'warning', 'Services', 'violations', 'Primus', 'Telecommunications', 'iSeclect', 'Services', 'consumers', 'occasions', 'consent', 'Nerida', ""O'Loughlin"", 'Telemarketers', 'permission', 'consumer', 'number', 'Register', 'Register', 'number', 'Register', 'consent', 'Consumers', 'consent', 'Telemarketers', 'consumers', 'obligations', 'people', 'release']","['announced', 'issued', 'called', 'withdrawn', 'involved', 'Calling', 'breaching', 'withdraw', 'accept', 'continue', 'listen', 'removing', 'calling']","['Australian', 'iSelect', 'telemarketingÂ', 'particular', 'several']"
